Name, School
George McNeil,	Southern Illinois
Ken Washington,	California-Los Angeles
Brian Williams,	Xavier
Roland West,	Cincinnati
Ron Krick,	Cincinnati
John Wetzel,	Virginia Tech
Russ Gumina,	San Francisco
Stan Curtis,	Northern Michigan
Bill Turner,	Akron
Al Grant,	Long Island-Brooklyn
Chuck Gardner,	Colorado
Billy Smith,	Loyola-Chicago
Julian Hammond,	Tulsa
Pat Caldwell,	Rockhurst
Gene Summers,	Northern Michigan
Richard Moore,	Hiram Scott
Don Yates,	Minnesota
Guy Manning,	Prairie View A&M
Freddie Lewis,	Arizona State
Mike Rooney,	Oklahoma
Bob Bedell,	Stanford
Don Swanson,	DePaul
Rich Dyer,	New York University
Curt Gammell,	Pacific Lutheran
Stan McKenzie,	New York University
R.B. Lynam,	Oklahoma Baptist
George Grams,	Purdue
Carver Clinton,	Penn State
Dave Deutsch,	Rochester (NY)
Lonnie Lynn,	Wilberforce
Grant Simmons,	Nebraska
Bob Bennett,	North Carolina
Nick Aloi,	Bowling Green
Al Lopes,	Kansas
Ollie Carter,	San Francisco
Jim Harter,	Texas-Pan American
Paul Long,	Wake Forest
Howard Bayne,	Tennessee
Eddie Jackson,	Bradley
Ken Barnes,	Wisconsin
Chris Pervall,	Iowa
Jerry Trice,	Weber State
Gene Visscher,	Weber State
Fred Hetzel,	Davidson
Rick Barry,	Miami (FL)
Dave Stallworth,	Wichita State
Jerry Sloan,	Evansville
Billy Cunningham,	North Carolina
Jim Washington,	Villanova
Nate Bowman,	Wichita State
Ollie Johnson,	San Francisco
Will Frazier,	Grambling
Dick Van Arsdale,	Indiana
Tom Van Arsdale,	Indiana
Tal Brody,	Illinois
Jesse Branson,	Elon
Hal Blevins,	Arkansas-Pine Bluff
Flynn Robinson,	Wyoming
John Fairchild,	Brigham Young
Ron Watts,	Wake Forest
Keith Erickson,	California-Los Angeles
John Clemens,	Ohio Wesleyan
Ron Reed,	Notre Dame
Joe Newton,	Auburn
Bob Weiss,	Penn State
Ken McIntyre,	St. John's (NY)
Jon McGlocklin,	Indiana
Jim Caldwell,	Georgia Tech
Toby Kimball,	Connecticut
Warren Rustand,	Arizona
Larry Lembo,	Manhattan
Jim King,	Oklahoma State
Skip Thoren,	Illinois
Hank Finkel,	Dayton
Lynn Nance,	Washington
Bob Love,	Southern University
Brooks Henderson,	Florida
Richie Tarrant,	Saint Michael's
Eddie Jackson,	Oklahoma City
Steve Nisenson,	Hofstra
Ted Manning,	North Carolina Central
Charles Dinkens,	Miami (FL)
Richie Moore,	Villanova
Theodore Werner,	Washington State
Warren Isaac,	Iona
A.W. Davis,	Tennessee
Don Davidson,	Davidson
Jim Jarvis,	Oregon State
Warren Davis,	North Carolina A&T
Barry Smith,	High Point
Lavonne LeFlore,	Jackson State
Mitch Edwards,	Texas-Pan American
John Rambo,	Long Beach State
Leon Clements,	Ouachita Baptist
Theo Cruz,	Seattle
Haskell Tison,	Duke
Dan Wolters,	California
Dale Neel,	High Point
Willie Somerset,	Duquesne
John Young,	Midwestern State
Terry Kunze,	Minnesota
Jeff Gehring,	Miami (FL)
Dwayne Cruze,	Idaho State
George Deehan,	Lenoir-Rhyne
Willie Cotton,	Central State (OH)
Frank Granat,	Alliance
Jim Murphy,	DePaul
Bob Barnek,	St. Bonaventure
Cincinnatus Powell,	Portland
Jim Fox,	South Carolina
George Unseld,	Kansas
Jay Neary,	North Carolina-Wilmington
John Wendelkin,	Holy Cross
Gene West,	Drake
Leroy Walker,	Utah State
Ron Krick,	Cincinnati
Marlbert Pradd,	Dillard
Wayne Molis,	Lewis
Bogie Redmon,	Illinois
Dean Church,	Louisiana-Lafayette
Spencer Carlson,	Baylor
Richie Dec,	Seton Hall
Don Rae,	Montana State
Bill Meyer,	Hiram
Thales McReynolds,	Miles
Curt Fromal,	La Salle
Weldon Kytle,	Cleveland State
Dick Maile,	Louisiana State
Bob Andrews,	Alabama
Bob Trupin,	Yale
Walt Sahm,	Notre Dame
Dan Anderson,	Augsburg
Elton McGriff,	Creighton
Robert McCollough,	Benedict
Dennis McGovern,	Rhode Island
Joe Ramsey,	Southern Illinois
Rich Parks,	Tulsa
Mel Northway,	Minnesota
Oliver Jones,	Albany State (GA)
Jerry Rook,	Arkansas State
Jack Morgenthal,	Houston
Terry Page,	Detroit Mercy
Larry Franks,	Texas
Dave Hicks,	None
James Pitts,	Georgia
George Pomey,	Michigan
Ronald Scharf,	Georgia Tech
Bunk Adams,	Ohio
Larry Rafferty,	Fairfield
Bob Tolan,	Eastern Kentucky
Willie Porter,	Tennessee State
Roger Taylor,	Illinois
Gail Goodrich,	California-Los Angeles
Bill Buntin,	Michigan
Bill Bradley,	Princeton
Jim Barnes,	Texas-El Paso
Joe Caldwell,	Arizona State
Gary Bradds,	Ohio State
Lucious Jackson,	Texas-Pan American
Jeff Mullins,	Duke
Barry Kramer,	New York University
Mel Counts,	Oregon State
Willis Reed,	Grambling
Les Hunter,	Loyola-Chicago
Paul Silas,	Creighton
Ira Harge,	New Mexico
Charles Nash,	Kentucky
Howard Komives,	Bowling Green
Bud Koper,	Oklahoma City
Bill Chmielewski,	Dayton
Ron Bonham,	Cincinnati
Brian Generalovich,	Pittsburgh
Wali Jones,	Villanova
Jerry Sloan,	Evansville
Larry Jones,	Toledo
Tom Dose,	Stanford
Arthur Becker,	Arizona State
Mccoy McLemore,	Drake
Steve Courtin,	Saint Joseph's
John Thompson,	Providence
Freddie Crawford,	St. Bonaventure
Jim Davis,	Colorado
Pete Spoden,	Northern Iowa
Frank Corace,	La Salle
Hank Finkel,	Dayton
Willie Murrell,	Kansas State
Gene Elmore,	Southern Methodist
Happy Hairston,	New York University
Joe Strawder,	Bradley
Tony Gennari,	Canisius
Ray Wolford,	Toledo
Bennie Lennox,	Texas A&M
Lou Skurcenski,	Westminster (PA)
John Savage,	North Texas
John Tresvant,	Seattle
Roger Suttner,	Kansas State
George Kirk,	Memphis
Nick Werkman,	Seton Hall
Tom Lavelle,	Western Carolina
Larry Phillips,	Rice
Bobby Joe Edmonds,	Tennessee State
Ricky Kaminsky,	Yale
Troy Collier,	Utah State
Ernest Brock,	Virginia State
Ray Carey,	Missouri
Al Thresher,	Wittenberg
Levern Tart,	Bradley
Emmette Bryant,	DePaul
Jerry Jackson,	Ohio
Ron Miller,	Loyola-Chicago
Gordon Hatton,	Dayton
Steve Anstett,	Portland
Maurice McHartley,	North Carolina A&T
David Lee,	San Francisco
Vic Rouse,	Loyola-Chicago
Rich Falk,	Northwestern
Jim Boutin,	Lewis & Clark
Ralph Telken,	Rockhurst
Danny Schultz,	Tennessee
Bob Pelkington,	Xavier
Jay Buckley,	Duke
Kendall Rhine,	Rice
Bob Garibaldi,	Santa Clara
Joe Gieger,	Xavier
Jeff Blue,	Butler
Jack Brens,	Wisconsin
Tom Black,	South Dakota State
Jim Brennan,	Clemson
Darel Carrier,	Western Kentucky
Camden Wail,	California
Scotty Pierce,	West Texas A&M
Charles Kelley,	West Virginia Tech
Jim Christy,	Georgetown
Bill Kusleika,	Tulsa
Wally Briggs,	North Carolina A&T
Frank Stephens,	Virginia State
Jeff Cartwright,	Chapman
Bob Neumann,	Memphis
Duane Corribeau,	Clark (MA)
Dennis Lynch,	Yale
Fred Glover,	Winston-Salem State
Thomas Lowry,	West Virginia
Gerald Govan,	St. Mary of the Plains
Jim Reynolds,	Abilene Christian
Frank Kamiaski,	Randolph-Macon
Julius Myers,	Morris Brown
Warren Sutton,	Sir George Williams (CAN)
Fred Jones,	Youngstown State
Doug Moon,	Utah
Cecil Tuttle,	Georgetown (KY)
Pete Gent,	Michigan State
Bill Blair,	Virginia Military Institute
Sandy Williams,	Saint Francis (PA)
Al Cech,	Detroit Mercy
George Wilson,	Cincinnati
Walt Hazzard,	California-Los Angeles
Art Heyman,	Duke
Rod Thorn,	West Virginia
Nate Thurmond,	Bowling Green
Eddie Miles,	Seattle
Gerry Ward,	Boston College
Tom Hoover,	Villanova
Roger Strickland,	Jacksonville
Bill Green,	Colorado State
Jerry Harkness,	Loyola-Chicago
Gus Johnson,	Idaho
Gary Hill,	Oklahoma City
Jerry Smith,	Furman
Jim King,	Tulsa
Leland Mitchell,	Mississippi State
Hershell West,	Grambling
Mel Gibson,	Western Carolina
Ken Saylors,	Arkansas Tech
Bill O'Connor,	Canisius
Tom Bolyard,	Indiana
Steve Gray,	St. Mary's (CA)
Mike McCoy,	Miami (FL)
Jimmy Rayl,	Indiana
Bill Burwell,	Illinois
Jerry Greenspan,	Maryland
Lyle Harger,	Houston
Chuck Kriston,	Valparaiso
Nate Cloud,	Delaware
Nolen Ellison,	Kansas
Dave Downey,	Illinois
Dave Erickson,	Marquette
Ken Charlton,	Colorado
Waite Bellamy,	Florida A&M
Ray Flynn,	Providence
Layton Johns,	Auburn
Connie McGuire,	Southeastern Oklahoma State
Joe McDermott,	Belmont Abbey
Ron Glaser,	Marquette
Don Turner,	Southwestern (KS)
Bill Small,	Illinois
Mac Herndon,	Bradley
Tony Yates,	Cincinnati
Tony Cerkvenik,	Arizona State
Larry Jones,	Toledo
W. D. Stroud,	Mississippi State
Jim Kerwin,	Tulane
Ken Siebel,	Wisconsin
Gene Shields,	Santa Clara
Reggie Harding,	Eastern
Jim McCormack,	West Virginia
Al Santio,	Maryland
Vince Brewer,	Iowa State
Warren Salade,	Westminster (PA)
Vinnie Ernst,	Providence
Bob Woolard,	Wake Forest
Larry Brown,	North Carolina
Don Clemetson,	Stanford
Ira Harge,	New Mexico
Hunter Beckman,	Memphis
Ken Rohloff,	North Carolina State
Bill Brown,	Howard Payne
Gordie Martin,	Southern California
Herb Magee,	Philadelphia University
Freddie Crawford,	St. Bonaventure
Dick Riesback,	Iowa State
Harry Dinnell,	Pepperdine
Gary Silc,	Northern Michigan
Harold Strothers,	Texas A&M
Ray Cronk,	Lakeland
Ron Jackson,	Wisconsin
Chuck White,	Idaho
Ernie Durston,	Seattle
Frank Davis,	Oklahoma Christian
Gerald Glur,	Furman
M. C. Thompson,	DePaul
Carl Ritter,	Southeast Missouri State
Orbie Bowling,	Tennessee
Marv Straw,	Iowa State
Bob Walter,	Baldwin Wallace
Hugh Evans,	North Carolina A&T
Jerry Szachara,	Cornell
Gordon McFarland,	Central Missouri
Bill Raftery,	La Salle
Ron Pickett,	Eastern Kentucky
Tom Thacker,	Cincinnati
Bill McGill,	Utah
Paul Hogue,	Cincinnati
Zelmo Beaty,	Prairie View A&M
Len Chappell,	Wake Forest
Wayne Hightower,	Kansas
Leroy Ellis,	St. John's (NY)
John Havlicek,	Ohio State
Terry Dischinger,	Purdue
John Rudometkin,	Southern California
Bob Duffy,	Colgate
Kevin Loughery,	St. John's (NY)
Chet Walker,	Bradley
Enoch Olsen,	Louisville
Hubie White,	Villanova
Gene Wiley,	Wichita State
Jack Foley,	Holy Cross
Don Nelson,	Iowa
Bobby Rascoe,	Western Kentucky
Charlie Hardnett,	Grambling
Harold Hudgens,	Texas Tech
Porter Meriwether,	Tennessee State
Chris Appel,	Southern California
Dave Fedor,	Florida State
John Green,	California-Los Angeles
Jim Hadnot,	Providence
Charles Vaughn,	Southern Illinois
Cliff Luyk,	Florida
Jerry Grote,	Loyola-Marymount
Reggie Harding,	Eastern
Bob McCully,	St. Bonaventure
Jack Thobe,	Xavier
Garry Roggenburk,	Dayton
Jan Loudermilk,	Southern Methodist
Roger Strickland,	Jacksonville
Cornell Green,	Utah State
Bob Burgess,	Marshall
Tom Hatton,	Dayton
Lindbergh Moody,	South Carolina
John Windsor,	Stanford
Mike Wroblewski,	Kansas State
Jack Jackson,	Virginia Union
Art Whisnant,	South Carolina
Gary Daniels,	Citadel
Bill Hanson,	Washington
Ken Stanley,	Pacific
Jay Carty,	Oregon State
Ed Noe,	Morehead State
Larry Van Eman,	Wichita State
Jerry Foster,	Drake
Jim Hudock,	North Carolina
Bucky Keller,	Virginia Tech
Jim Hooley,	Boston College
Jack Ardon,	Tulane
Richie Swartz,	Hofstra
Bob McAteer,	La Salle
John Bradley,	Lawrence
Bob Sharpenter,	Georgetown
Gary Cunningham,	California-Los Angeles
Howie Montgomery,	Texas-Pan American
Clyde Arnold,	Duquesne
Larry Pursiful,	Kentucky
Warren Fouts,	Oklahoma
Terry Ball,	Washington State
Mike Rice,	Duquesne
Jerry Harkness,	Loyola-Chicago
Ed Bento,	Loyola-Marymount
Bill Kirvin,	Xavier
Bill Garner,	Portland
Chuck Chevalier,	Boston College
Carroll Broussard,	Texas A&M
Paul Benec,	Duquesne
Marvin Trotman,	Elizabeth City State
Bill Nelson,	Hamline
Vince Brewer,	Iowa State
Chris Jones,	Carson-Newman
Tom Kiefer,	Saint Louis
Bill Matson,	Minnesota
Mike Cingiser,	Brown
Pete Campbell,	Princeton
Ralph Richardson,	Eastern Kentucky
Charlie Sells,	Washington State
Glenn Moore,	Oregon
George Knighton,	New Mexico State
Ken McComb,	North Carolina
Jeff Slade,	Kenyon
Ed Mazria,	Pratt
Tom Chappelle,	Maine
Frank Pinchback,	Xavier
Donnie Walsh,	North Carolina
Mel Nowell,	Ohio State
John Caveny,	Le Moyne
Charles Warren,	Oregon
Tom Kennedy,	Lewis
Jerry Carlton,	Arkansas
Bob Mahland,	Williams
Wilky Gilmore,	Colorado
Pat McKenzie,	Kansas State
Dave Ricerto,	Rhode Island
Norman Majors,	Rockhurst
Wally Roundsville,	Caltech
Jerry Lucas,	Ohio State
Dave DeBusschere,	Detroit Mercy
Walt Bellamy,	Indiana
Tom Stith,	St. Bonaventure
Larry Siegfried,	Ohio State
Ray Scott,	Portland
Wayne Yates,	Memphis
Ben Warley,	Tennessee State
Tom Meschery,	St. Mary's (CA)
Cleo Hill,	Winston-Salem State
Gary Phillips,	Houston
Ronald Martin,	St. Bonaventure
Bob Wiesenhahn,	Cincinnati
Johnny Egan,	Providence
Fred Sawyer,	Louisville
Chris Smith,	Virginia Tech
Ted Luckenbill,	Houston
Ron Horn,	Indiana
Al Butler,	Niagara
Jack Turner,	Louisville
Jerry Graves,	Mississippi State
York Larese,	North Carolina
Don Kojis,	Marquette
Doug Moe,	North Carolina
Jeff Cohen,	William & Mary
Tony Jackson,	St. John's (NY)
Robert Nordmann,	Saint Louis
Doug Kistler,	Duke
Frank Burgess,	Gonzaga
Chuck Osborne,	Western Kentucky
Jack Egan,	Saint Joseph's
Tom Chilton,	East Tennessee State
Bill Depp,	Vanderbilt
Bill Bridges,	Kansas
George Blaney,	Holy Cross
Lowery Kirk,	Memphis
George Finley,	Tennessee State
Charles Henke,	Missouri
Hank Whitney,	Iowa State
John Tidwell,	Michigan
Gus Guydon,	Drake
Carl Cole,	Eastern Kentucky
Roger Kaiser,	Georgia Tech
Bill Smith,	St. Peter's
Rossie Johnson,	Tennessee State
Danny Doyle,	Belmont Abbey
Bill Lickert,	Kentucky
Don Jacobson,	South Dakota State
Bruce Spraggins,	Virginia Union
John Berberich,	California-Los Angeles
Bob DiStefano,	North Carolina State
Howie Carl,	DePaul
Cleveland Buckner,	Jackson State
Bob Slobodnik,	Duquesne
Lee Patrone,	West Virginia
Bill McClintock,	California
Billy Joe Price,	New Mexico State
Dick Goldberg,	Southern Mississippi
Bob McDonald,	Maryland
Ned Twyman,	Duquesne
Dave Voss,	Tulsa
Donnie Butcher,	Pikeville
Dave Zeller,	Miami (FL)
Burt Price,	Wittenberg
Albert Alamanza,	Texas
Roger Newman,	Kentucky
Charles McNeil,	Maryland
Charles Riley,	Winston-Salem State
Mel Klein,	Northern State
Ron Heller,	Wichita State
Cedrick Price,	Kansas State
Jerry Thelen,	Thomas More
Walter Ward,	Hampton
Bill Ellis,	California-Los Angeles
Dave Mills,	Seattle
Larry Swift,	Truman State
Gene Velloff,	Doane
John Wessels,	Illinois
Charles Bowman,	Wabash
Larry Krueger,	Ohio
Peter Baltic,	Penn State
Carl Anderson,	Oregon State
Rex Tippitt,	Grambling
Herbert Gray,	North Carolina A&T
Steve Strange,	Southern Methodist
Ron Debillous,	Milwaukee
Jack Waters,	Mississippi
Wayne Monson,	Northern Michigan
Robert Williams,	Allan Hancock College
Pete Chudy,	Syracuse
Leo Hill,	California-Los Angeles
Tom Faszholz,	Concordia (MO)
Larry Comley,	Kansas State
Kevin Loughery,	St. John's (NY)
Carl Short,	Newberry
Richard Kraft,	SUNY Brockport
Howard Hunt,	Duke
Dick Sammons,	Le Moyne
Corky Whitrow,	Georgetown (KY)
Dick Kepley,	North Carolina
Earl Shultz,	California
George Patterson,	Toledo
Jackie Crawford,	Centenary (LA)
Ned Jennings,	Kentucky
Clair McRoberts,	Monmouth
Howard Stacy,	Louisville
Bill Engressor,	Louisiana State
Carl Bouldin,	Cincinnati
Vince Kempton,	Saint Joseph's
Oscar Robertson,	Cincinnati
Jerry West,	West Virginia
Darrall Imhoff,	California
Jackie Moreland,	Louisiana Tech
Lee Shaffer,	North Carolina
Lenny Wilkens,	Providence
Al Bunge,	Maryland
Thomas Sanders,	New York University
Jay Arnette,	Texas
Dave Budd,	Wake Forest
Kelly Coleman,	Kentucky Wesleyan
Ron Johnson,	Minnesota
Wilbur Trosch,	Saint Francis (PA)
Frank Radovich,	Indiana
William Kennedy,	Temple
Leroy Wright,	Pacific
Ralph Davis,	Cincinnati
Jim Hagan,	Tennessee Tech
Bob McNeill,	Saint Joseph's
Frank Case,	Dayton
Joe Roberts,	Ohio State
Fred LaCour,	San Francisco
Bob Mealy,	Manhattan
Mike Graney,	Notre Dame
Dalen Showalter,	Tennessee
Wally Frank,	Kansas State
Ben Warley,	Tennessee State
Ken Remley,	West Virginia Wesleyan
Carl Cole,	Eastern Kentucky
Horace Walker,	Michigan State
Charley Sharp,	Texas State
Sid Cohen,	Kentucky
Don Ogorek,	Seattle
George Farley,	Cornell
Charles McNeil,	Maryland
Willie Jones,	Northwestern
Jim Mudd,	North Texas
Jimmy Darrow,	Bowling Green
Alvin Attles,	North Carolina A&T
Wayne Lawrence,	Texas A&M
Bobby Joe Mason,	Bradley
Bobby Goodall,	Tulsa
David Denton,	Georgia Tech
Bill Lowry,	Christian Brothers
Herschell Turner,	Nebraska
York Larese,	North Carolina
Jim Brangan,	Princeton
Roger Newman,	Kentucky
Fred Sobrero,	Santa Clara
Howie Jolliff,	Ohio
Dick Doughty,	California
Doug Moe,	North Carolina
Bernie Kauffman,	Kentucky
Bob Sims,	Pepperdine
Bob Clarke,	Saint Joseph's
Sam Stith,	St. Bonaventure
John Werhas,	Southern California
George Price,	Memphis
Mike Yugovich,	Youngstown State
Don Lynch,	Le Moyne
Don Curry,	Southern Mississippi
George Raveling,	Villanova
Al Nealey,	Arizona State
Claude Lefevre,	Gonzaga
Tony Davis,	Hawaii
Martin Holland,	Kentucky Wesleyan
Bernie Findlay,	San Diego State
Bob Castanada,	Rockhurst
Joe Gallo,	Saint Joseph's
Lon Sizemore,	West Virginia Tech
Dick Harvey,	Creighton
Walter Mangham,	Marquette
Joe Kennelly,	Dayton
Americus John-Lewis,	Iowa
Dennis Moore,	Regis (CO)
Sterling Forbes,	Pepperdine
Howard Willis,	Grambling
Mel Peterson,	Wheaton (IL)
Dick Davies,	Louisiana State
Ron Altenberg,	Cornell College
Will Jones,	American
Henry Hart,	Auburn
John Dobbert,	Wheaton (IL)
Bob Wilkinson,	Indiana
John Milhoan,	Marshall
Dick Furry,	Ohio State
Lee Hopfenspirger,	Hamline
Larry Chaney,	Montana State
Jim Hanna,	Southern California
Ducky Potter,	Moravian
Jerry Bechtal,	Maryland
Gene Jordan,	Northwest Missouri State
Jerry Schofield,	Utah State
Ernie McCray,	Arizona
Tandy Gillis,	California
Don Mills,	Kentucky
George Krajick,	Clemson
Larry Willey,	Cincinnati
Tony Wilcox,	Wittenberg
Jim McDonald,	West Virginia Wesleyan
Bob Boozer,	Kansas State
Bailey Howell,	Mississippi State
Tom Hawkins,	Notre Dame
Dick Barnett,	Tennessee State
Johnny Green,	Michigan State
John Richter,	North Carolina State
Tom Robitaille,	Rice
Don Goldstein,	Louisville
Joe Ruklick,	Northwestern
Rudy LaRusso,	Dartmouth
Gene Tormohlen,	Tennessee
Alan Seiden,	St. John's (NY)
Cal Ramsey,	New York University
Gene Guarilia,	George Washington
Mike Mendenhall,	Cincinnati
Gary Alcorn,	Fresno State
Jim Hickaday,	Memphis
Bobby Smith,	West Virginia
Jon Cincebox,	Syracuse
Bob Anderegg,	Michigan State
Hank Stein,	Xavier
Ralph Croswaite,	Western Kentucky
Leo Byrd,	Marshall
George Lee,	Michigan
Ron Stevenson,	Texas Christian
Wilson Eison,	Purdue
Paul Neumann,	Stanford
Johnny Cox,	Kentucky
Lee Harman,	Oregon State
Ed Kazakavich,	Scranton
Harry Kirchner,	Texas Christian
Tony Windis,	Wyoming
Bill Telasky,	George Washington
Bobby Joe Mason,	Bradley
Roger Taylor,	Illinois
Herb Busch,	Virginia
Nick Mantis,	Northwestern
Don Lange,	William & Mary
Don Hennon,	Pittsburgh
Lou Jordan,	Cornell
Joe Spratt,	Saint Joseph's
Jim Henry,	Vanderbilt
Bob Dalton,	California
Bucky McDonald,	George Washington
Mike Moran,	Marquette
Bob Cumings,	Boston University
Dale Moore,	Eastern Kentucky
Doug Smart,	Washington
Joe Ryan,	Villanova
Charley Grote,	Georgetown (KY)
Darnell Haney,	Utah State
Russ Robinson,	Missouri State
Orby Arnold,	Memphis
Don Matuszak,	Kansas State
Chuck Curtis,	Pacific Lutheran
Dave Gunther,	Iowa
Leon Hill,	Texas Tech
Walt Torrence,	California-Los Angeles
Willie Merriweather,	Purdue
Joe Billy McDade,	Bradley
Doyle Edmiston,	Hardin-Simmons
Carl Belz,	Princeton
Jim Mudd,	North Texas
Jerry Shipp,	Southeastern Oklahoma State
Lou Pucillo,	North Carolina State
Joe Viviano,	Xavier
Bruno Boin,	Washington
Tony Sellari,	Lenoir-Rhyne
Roger Johnson,	Minnesota
Paul Wilcox,	Davis & Elkins
Ron Loneski,	Kansas
Charley Brown,	Seattle
M. C. Burton,	Michigan
Phil Warren,	Northwestern
Jack Evans,	Lake Superior State
Paul Benes,	Hope
John Barnhill,	Tennessee State
Roger Wendel,	Tulsa
Vern Baggenstoss,	St. Cloud State
Ed Blair,	Western Michigan
Dwayne Smith,	Gustavus Adolphus
John Nicoll,	Brigham Young
Jack Israel,	Missouri State
Bob Ferry,	Saint Louis
Wilt Chamberlain,	Kansas
Elgin Baylor,	Seattle
Archie Dees,	Indiana
Mike Farmer,	San Francisco
Pete Brennan,	North Carolina
Connie Dierking,	Cincinnati
Dave Gambee,	Oregon State
Bennie Swain,	Texas Southern
Steve Hamilton,	Morehead State
Vern Hatton,	Kentucky
Barney Cable,	Bradley
Joe Quigg,	North Carolina
Lamar Sharrar,	West Virginia
Hal Greer,	Marshall
Hub Reed,	Oklahoma City
Jimmy Smith,	Franciscan
Alexander Ellis,	Niagara
Arlen Bockhorn,	Dayton
Roy DeWitz,	Kansas State
John Lee,	Yale
Frank Howard,	Ohio State
John Nacincik,	Maryland
Wayne Embry,	Miami (FL)
Jim Cunningham,	Fordham
George Kline,	Minnesota
Phil Murrell,	Drake
Ralph Croswaite,	Western Kentucky
Johnny Cox,	Kentucky
Temple Tucker,	Rice
Tommy Kearns,	North Carolina
Julius Peques,	Pittsburgh
Don Flora,	Washington & Lee
Quitman Sullins,	Murray State
Jim Fulmer,	Alabama
Hank Morano,	St. Peter's
Don Lane,	Dayton
Don Ohl,	Illinois
Fred Grim,	Arkansas
Rick Herrsher,	Southern Methodist
Gene Brown,	San Francisco
Al Inniss,	St. Francis Brooklyn
Jim McClennan,	Saint Francis (PA)
Shellie McMillon,	Bradley
Joe King,	Oklahoma
Bucky Allen,	Duke
Jack Mimitz,	Saint Louis
John Crawford,	Iowa State
Dave Keleher,	Morehead State
Jim Bond,	Point Loma Nazarene
Wayne Stevens,	Cincinnati
Ed Blair,	Western Michigan
Owen Lawson,	Western Kentucky
Jay Norman,	Temple
Pete Tillotson,	Michigan
Ken Sidle,	Ohio State
Rudy Fenderson,	Brandeis
Ed Brinkley,	Clemson
Bob Mantz,	Lafayette
Jack Quiggle,	Michigan State
Milt Kane,	Utah
Tom Brennan,	Villanova
Ruel Tucker,	Rockhurst
Bruno Boin,	Washington
Joe Hobbs,	Florida
Larry Staverman,	Thomas More
Harry Marske,	North Dakota State
John McCarthy,	Notre Dame
Nick Davis,	Maryland
Tink Van Patton,	Temple
Shorty Patterson,	Gustavus Adolphus
Jack Parr,	Kansas State
Pete Gaudin,	Loyola (LA)
Larry Hedden,	Michigan State
James Purcell,	Coe
Hal Duffy,	Oregon
Frank Tartaton,	Xavier
Herb Merritt,	Tennessee Tech
Don Klein,	Rockhurst
Gary Simmons,	Idaho
Don Medsker,	Iowa State
Jim Dew,	Alabama State
Joe Buckhalter,	Tennessee State
Jerry Alcom,	Fresno State
Jerry DuPont,	Louisville
Jim Newcomb,	Duke
Adrian Smith,	Kentucky
Jack McCarthy,	Dayton
John Powell,	Miami (FL)
Guy Rodgers,	Temple
Rod Hundley,	West Virginia
Charlie Tyra,	Louisville
Jim Krebs,	Southern Methodist
Win Wilfong,	Memphis
Brendan McCann,	St. Bonaventure
Lennie Rosenbluth,	North Carolina
George H. Bon Salle,	Illinois
Sam Jones,	North Carolina Central
Dick Duckett,	St. John's (NY)
Bob McCoy,	Grambling
Harvey Schmidt,	Illinois
Jim Palmer,	Dayton
Larry Friend,	California
Jack Sullivan,	Mount St. Mary's
Jim Morgan,	Louisville
Dick O'Neal,	Texas Christian
Jerry Paulson,	Manhattan
Bill Ebben,	Detroit Mercy
Jim Spivey,	Southeastern Oklahoma State
John Smyth,	Notre Dame
Gary Clark,	Syracuse
Angelo Lombardo,	Manhattan
Vince Cohen,	Syracuse
Chuck Schramm,	Western Illinois
Jed Dormeyer,	Minnesota
Kurt Englebert,	Saint Joseph's
George Brown,	Wayne State (MI)
Hank Nowak,	Canisius
Rayford Wells,	Lenoir-Rhyne
Ray Radziszewski,	Saint Joseph's
Jerry Mallett,	Baylor
Jim Ashmore,	Mississippi State
Stewart Murray,	Lafayette
Ron Kramer,	Michigan
Gary Thompson,	Iowa State
Al Rochelle,	Vanderbilt
Lee Marshall,	Washington & Lee
Jim Radcliffe,	Lafayette
Frank Nimmo,	Cincinnati
Grady Wallace,	South Carolina
John Maglio,	North Carolina State
Walt Acamushko,	St. Francis Brooklyn
Phil Murrell,	Drake
Raymond Downs,	Texas
Jim Humphreys,	Saint Michael's
Alonzo Lewis,	La Salle
Lyndon Lee,	Oklahoma City
Maury King,	Kansas
Chet Forte,	Columbia
Carl Boldt,	San Francisco
George Ferguson,	Michigan
Mason Pope,	Kentucky Wesleyan
Max Jameson,	Kentucky State
Dick Gaines,	Seton Hall
Dick Brott,	Denver
Bob Daniels,	Western Kentucky
Doug Bolstorff,	Minnesota
John Haaven,	North Dakota
Bill Darragh,	Louisville
Woody Sauldsberry,	Texas Southern
Cebe Price,	Marshall
Bill Von Weyhe,	Rhode Island
Dick Heise,	DePaul
Bob Lazor,	Pittsburgh
Jim Sutton,	North Dakota State
Calvin Grosscup,	Tulane
Steve Hamilton,	Morehead State
Jim Brown,	Syracuse
Joe Gibbon,	Mississippi
Mel Wright,	Oklahoma State
Gordon Fosness,	Dakota Wesleyan
Bobby Mills,	Southern Methodist
Gerry Calvert,	Kentucky
Jack Nichols,	Colgate
Jack Butcher,	Memphis
Cliff Hafer,	North Carolina State
Gerald Dreier,	Macalester
Dick Neal,	Indiana
Jim Boothe,	Xavier
Bob Seitz,	North Carolina State
Jim Weeks,	New York Tech
Ed Romanoff,	None
Lavelle Langston,	Northwestern State
Jerry Gibson,	None
Dan Tobin,	Florida Southern
Si Green,	Duquesne
Bill Russell,	San Francisco
Jim Paxson,	Dayton
Ron Shavlik,	North Carolina State
Joe Holup,	George Washington
